"CasId","CodCadenaTv","Nombre","Logo","PuntoReproduccion","FormatoVideo"
"4612","CLASSD","Classica","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CLASSD","http://clasica-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4544","24H","24 Horas","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/24H","http://24horas-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5256","BBC","BBC World","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/BBC","http://worldbbc-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"5254","CNN","CNN Int","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CNN","http://intcnn-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"5255","ENW","Euronews","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/ENW","http://1euronews-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"5281","ALJAZE","Al Jazeera English","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/ALJAZE","http://aljazeera-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5282","FRANCE","FRANCE24 (FR)","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/FRANCE","http://24france-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"5283","INTEUA","1+1 Internacional","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/INTEUA","http://11int-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"5284","NBC","CNBC","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/NBC","http://01cnbc-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5285","TV5","TV5MONDE","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/TV5","http://tv5monde-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"5286","BL","Bloomberg","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/BL","http://tvbloomberg-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"4893","INTECO","El Toro TV","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/INTECO","http://eltorotv-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4985","NEGOTV","Negocios TV","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/NEGOTV","http://negociostv-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"5287","CCTV-E","CGTN Español","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CCTV-E","http://cgtn-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"5414","UCL","UCL","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/UCL","http://tvucl-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"4764","ANTV","Canal Sur Andalucía","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/ANTV","http://csur-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4548","TVG","TVG Europa","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/TVG","http://galicia-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"4614","EXTREM","Canal Extremadura Sat","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/EXTREM","http://extremadura-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"4615","ARAGON","Aragón TV Int","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/ARAGON","http://aragon-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"4557","ETB","EITB Basque","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/ETB","http://etb-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"4555","TVC","TV3 Cat","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/TVC","http://tv3cat-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5092","TELMIN","Telemadrid Int.","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/TELMIN","http://inttelemadrid-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4834","MLIG2","M+ LALIGA TV 3","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIG2","http://3liga-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4835","MLIG3","M+ LALIGA TV 4","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIG3","http://4liga-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5264","MPLUS2","Movistar Plus+ 2","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MPLUS2","http://2plus-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5137","MLIGS3","LALIGA TV HYPERMOTION 3","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIGS3","http://3segdiv-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4565","CHAP3","M+ Liga de Campeones  4","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHAP3","http://04campeones-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4568","CHAP4","M+ Liga de Campeones 5","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHAP4","http://05campeones-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4570","CHAP5","M+ Liga de Campeones 6","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHAP5","http://06campeones-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4572","CHAP6","M+ Liga de Campeones 7","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHAP6","http://07campeones-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4574","CHAP7","M+ Liga de Campeones 8","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHAP7","http://08campeones-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4578","CHAP8","M+ Liga de Campeones 9","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHAP8","http://09campeones-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5003","CHAP9","M+ Liga de Campeones 10","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHAP9","http://10campeones-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5007","CHAP10","M+ Liga de Campeones 11","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHAP10","http://11campeones-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5017","CHAP11","M+ Liga de Campeones 12","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHAP11","http://12campeones-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5021","CHAP12","M+ Liga de Campeones 13","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHAP12","http://13campeones-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"4561","USOP3","M+ Deportes 4","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/USOP3","http://4multidep-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4562","USOP11","M+ Deportes 5","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/USOP11","http://5multidep-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4566","MULTI8","M+ Deportes 6","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MULTI8","http://6multidep-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4569","MULTI6","M+ Deportes 7","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MULTI6","http://7multidep-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
