
"14/05/2025","OTT","Añadido","5372","","5372","","DAZNL5","","DAZN LALIGA 5","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/DAZNL5","","http://05daznliga-dash-movistarplus.emisiondof6.com/manifest.mpd","","HD"
"23/05/2025","OTT","Añadido","4838","","4838","","MLIGS6","","LALIGA TV HYPERMOTION 6","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIGS6","","http://6segdiv-dash-movistarplus.emisiondof6.com/manifest.mpd","","HD"
"23/05/2025","OTT","Añadido","5215","","5215","","MLIGS7","","LALIGA TV HYPERMOTION 7","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIGS7","","http://7segdiv-dash-movistarplus.emisiondof6.com/manifest.mpd","","HD"
"23/05/2025","OTT","Añadido","5217","","5217","","MLIGS4","","LALIGA TV HYPERMOTION 4","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIGS4","","http://4segdiv-dash-movistarplus.emisiondof6.com/manifest.mpd","","HD"
"23/05/2025","OTT","Añadido","5219","","5219","","MLIGS5","","LALIGA TV HYPERMOTION 5","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIGS5","","http://5segdiv-dash-movistarplus.emisiondof6.com/manifest.mpd","","HD"
"23/05/2025","OTT","Añadido","5272","","5272","","ESP4K","","Eurosport 4K","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/ESP4K","","http://1eventuhd-dash-movistarplus.emisiondof6.com/manifestuhd.mpd","","4K"
"04/06/2025","OTT","Eliminado","4836","4836","","MLIG4","","M+ LALIGA TV 5","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIG4","","http://5liga-dash-movistarplus.emisiondof6.com/manifest.mpd","","HD",""
"04/06/2025","OTT","Eliminado","4837","4837","","MLIG5","","M+ LALIGA TV 6","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIG5","","http://6liga-dash-movistarplus.emisiondof6.com/manifest.mpd","","HD",""
"04/06/2025","OTT","Modificado","4955","","","MCRUIS","MTHRI","M+E: Tom Cruise","M+ Thriller","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MCRUIS","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MTHRI","","","",""
"04/06/2025","OTT","Eliminado","5209","5209","","DAZNL3","","DAZN LALIGA 3","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/DAZNL3","","http://03daznliga-dash-movistarplus.emisiondof6.com/manifest.mpd","","HD",""
"04/06/2025","OTT","Eliminado","5213","5213","","DAZNL4","","DAZN LALIGA 4","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/DAZNL4","","http://04daznliga-dash-movistarplus.emisiondof6.com/manifest.mpd","","HD",""
"04/06/2025","OTT","Eliminado","5372","5372","","DAZNL5","","DAZN LALIGA 5","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/DAZNL5","","http://05daznliga-dash-movistarplus.emisiondof6.com/manifest.mpd","","HD",""
"04/06/2025","OTT","Eliminado","5418","5418","","CHHDR","","M+ Liga de Campeones HDR","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHHDR","","http://uhdmcampeones-dash-movistarplus.emisiondof6.com/manifestuhd.mpd","","HD",""
"04/06/2025","OTT","Eliminado","5424","5424","","CHHDR2","","M+ Liga de Campeones2 HDR","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CHHDR2","","http://uhd2mcamp-dash-movistarplus.emisiondof6.com/manifestuhd.mpd","","HD",""
"04/06/2025","DIFUSION","Eliminado","4836","4836","","MLIG4","","M+ LALIGA TV 5","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIG4","","http://5liga-dash-movistarplus.emisiondof6.com/manifest.mpd","","HD",""
"04/06/2025","DIFUSION","Eliminado","4837","4837","","MLIG5","","M+ LALIGA TV 6","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MLIG5","","http://6liga-dash-movistarplus.emisiondof6.com/manifest.mpd","","HD",""
"04/06/2025","DIFUSION","Modificado","4955","","","MCRUIS","MTHRI","M+E: Tom Cruise","M+ Thriller","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MCRUIS","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MTHRI","","","",""
"04/06/2025","DIFUSION","Eliminado","5209","5209","","DAZNL3","","DAZN LALIGA 3","","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/DAZNL3","","http://03daznliga-dash-movistarplus.emisiondof6.com/manifest.mpd","","HD",""
